Product ID,Product Name,Product Description,Quantity type,SKU,Quantity,Product Cost (in rupees),Sell Price (in rupees),Date,Quantity Sold,Product Sold at
52,Running Shoes,Footwear,None,RNS001,20,1600,2000,02/21/21,10,20000
53,Sandals,Footwear,None,SDL001,15,800,1000,02/22/21,1,1000
54,Boots,Footwear,None,BTS001,10,2000,2500,02/23/21,7,17500
55,Sneakers,Footwear,None,SNK001,22,1500,1800,02/24/21,5,9000
56,Hiking Backpack,A backpack for hiking,None,HBP001,10,800,1000,02/25/21,2,2000
57,Travel Backpack,A backpack for traveling,None,TBP002,15,1200,1500,02/26/21,1,1500
58,School Backpack,A backpack for school,None,SBP001,8,500,700,02/27/21,7,4900
59,Daypack,A small backpack,None,DP001,12,600,800,02/28/21,10,8000
60,Hiking Boots,Footwear,None,HKB001,10,2400,2800,03/01/21,9,25200
61,Camping Tent,A portable shelter,None,CT001,5,10000,12000,03/02/21,1,12000
62,Sleeping Bag,A portable insulated bag,None,SB001,8,4000,5000,03/03/21,5,25000
63,Portable Stove,A stove for outdoor cooking,None,PS001,10,2000,2500,03/04/21,7,17500
64,Water Bottle,A container for carrying water,None,WB001,15,300,500,03/05/21,10,5000
65,Backpack,A bag for carrying belongings,None,BP001,20,1000,1500,03/06/21,8,12000
66,Travel Pillow,A pillow for traveling,None,TP002,8,200,300,03/07/21,2,600
67,Neck Pillow,A pillow for neck support,None,NP001,12,300,400,03/08/21,1,400
68,Travel Blanket,A blanket for traveling,None,TB001,10,400,600,03/09/21,7,4200
69,Passport Holder,A holder for passport,None,PH001,15,100,200,03/10/21,9,1800
70,Luggage Scale,A device for weighing luggage,None,LS001,5,500,700,03/11/21,4,2800
71,Backpack,A backpack for hiking,None,BP002,10,800,1000,03/12/21,8,8000
72,Trekking Poles,A pair of poles for trekking,None,TP001,8,600,800,03/13/21,1,800
73,Portable Charger,A charger for mobile devices,None,PC001,15,500,700,03/14/21,9,6300
74,Travel Adapter,A device for adapting plugs,None,TA002,20,300,500,03/15/21,16,8000
75,Power Bank,A portable charger,None,PB001,12,700,900,03/16/21,4,3600
76,USB Flash Drive,A portable data storage device,None,UFD001,20,400,600,03/17/21,6,3600
77,Wireless Mouse,A mouse without cables,None,WM001,15,600,800,03/18/21,6,4800
78,Laptop Stand,A stand for laptops,None,LS001,10,500,700,03/19/21,4,2800
79,Gaming Mouse,A mouse for gaming,None,GM001,8,800,1000,03/20/21,5,5000
80,Graphics Card,A device for rendering graphics,None,GC001,5,15000,18000,03/21/21,2,36000
81,Motherboard,A main circuit board,None,MB001,8,10000,12000,03/22/21,7,84000
82,CPU,A central processing unit,None,CPU001,10,8000,10000,03/23/21,5,50000
83,RAM,A type of computer memory,None,RAM001,15,6000,8000,03/24/21,5,40000
84,Hard Drive,A data storage device,None,HD001,12,2000,2500,03/25/21,7,17500
85,SSD,A type of data storage device,None,SSD001,10,3000,3500,03/26/21,6,21000
86,Monitor,A display screen,None,MON001,5,10000,12000,03/27/21,1,12000
87,Printer Paper,A type of paper,None,PP001,20,200,300,03/28/21,8,2400
88,Pencil,A writing instrument,None,PCL001,25,10,20,03/29/21,23,460
89,Eraser,A tool for erasing,None,ER001,30,5,10,03/30/21,15,150
90,Highlighter,A marker for highlighting text,None,HL001,15,20,30,03/31/21,2,60
91,Scissors,A cutting tool,None,SC001,10,50,100,04/01/21,5,500
92,Staples,A type of fastener,None,STP001,8,5,10,04/02/21,2,20
93,File Organizer,A tool for organizing files,None,FO001,12,100,150,04/03/21,3,450
94,Desk Lamp,A lighting fixture,None,DLP002,10,400,600,04/04/21,4,2400
95,Desk Chair,A chair for a desk,None,DC001,5,4000,5000,04/05/21,1,5000
96,Coffee Table,A low table for coffee,None,CT001,8,5000,6000,04/06/21,3,18000
97,Bookshelf,A shelf for books,None,BS001,10,2000,2500,04/07/21,2,5000
98,TV Stand,A stand for a television,None,TVS001,12,1500,2000,04/08/21,8,16000
99,Nightstand,A small table by a bed,None,NS001,5,2000,2500,04/09/21,1,2500
100,Sofa Bed,A sofa that can be converted into a bed,None,SFB001,8,8000,10000,04/10/21,7,70000
101,Area Rug,A rug for the floor,None,AR001,10,2500,3000,04/11/21,4,12000
102,Throw Pillow,A decorative pillow,None,TP001,12,500,700,04/12/21,5,3500
103,Wall Art,Artwork for walls,None,WA001,15,800,1000,04/13/21,8,8000
104,Curtains,Window coverings,None,CRT002,20,700,900,04/14/21,5,4500
105,Table Lamp,A lamp for tables,None,TL001,8,800,1000,04/15/21,7,7000
106,Travel Adapter,A device for adapting plugs,None,TA003,10,300,500,04/16/21,4,2000
107,Power Bank,A portable charger,None,PB002,15,800,1000,04/17/21,11,11000
108,USB Flash Drive,A portable data storage device,None,UFD002,20,500,700,04/18/21,3,2100
109,Wireless Mouse,A mouse without cables,None,WM002,15,700,900,04/19/21,11,9900
110,Laptop Stand,A stand for laptops,None,LS002,10,600,800,04/20/21,6,4800
111,Gaming Mouse,A mouse for gaming,None,GM002,8,900,1100,04/21/21,7,7700
112,Graphics Card,A device for rendering graphics,None,GC002,5,18000,22000,04/22/21,1,22000
113,Motherboard,A main circuit board,None,MB002,8,12000,15000,04/23/21,6,90000
114,CPU,A central processing unit,None,CPU002,10,10000,12000,04/24/21,2,24000
115,RAM,A type of computer memory,None,RAM002,15,8000,10000,04/25/21,9,90000
116,Hard Drive,A data storage device,None,HD002,12,3000,3500,04/26/21,5,17500
117,SSD,A type of data storage device,None,SSD002,10,4000,5000,04/27/21,8,40000
118,Monitor,A display screen,None,MON002,5,15000,18000,04/28/21,1,18000
119,Printer Paper,A type of paper,None,PP002,20,300,400,04/29/21,3,1200
120,Pencil,A writing instrument,None,PCL002,25,15,25,04/30/21,2,50
121,Eraser,A tool for erasing,None,ER002,30,10,15,05/01/21,15,225
122,Highlighter,A marker for highlighting text,None,HL002,15,30,40,05/02/21,13,520
123,Scissors,A cutting tool,None,SC002,10,80,100,05/03/21,8,800
124,Staples,A type of fastener,None,STP002,8,10,15,05/04/21,1,15
125,File Organizer,A tool for organizing files,None,FO002,12,150,200,05/05/21,8,1600
126,Desk Lamp,A lighting fixture,None,DLP003,10,500,700,05/06/21,6,4200
127,Desk Chair,A chair for a desk,None,DC002,5,5000,6000,05/07/21,3,18000
128,Coffee Table,A low table for coffee,None,CT002,8,6000,7000,05/08/21,1,7000
129,Bookshelf,A shelf for books,None,BS002,10,2500,3000,05/09/21,6,18000
130,TV Stand,A stand for a television,None,TVS002,12,2000,2500,05/10/21,9,22500
131,Nightstand,A small table by a bed,None,NS002,5,2500,3000,05/11/21,3,9000
132,Sofa Bed,A sofa that can be converted into a bed,None,SFB002,8,10000,12000,05/12/21,6,72000
133,Area Rug,A rug for the floor,None,AR002,10,3000,3500,05/13/21,4,14000
134,Throw Pillow,A decorative pillow,None,TP002,12,700,900,05/14/21,7,6300
135,Wall Art,Artwork for walls,None,WA002,15,1000,1200,05/15/21,2,2400
136,Curtains,Window coverings,None,CRT003,20,900,1100,05/16/21,14,15400
137,Table Lamp,A lamp for tables,None,TL002,8,1000,1200,05/17/21,4,4800
138,Travel Adapter,A device for adapting plugs,None,TA004,10,400,600,05/18/21,9,5400
139,Power Bank,A portable charger,None,PB003,15,1000,1200,05/19/21,5,6000
140,USB Flash Drive,A portable data storage device,None,UFD003,20,600,800,05/20/21,4,3200
141,Wireless Mouse,A mouse without cables,None,WM003,15,800,1000,05/21/21,3,3000
142,Laptop Stand,A stand for laptops,None,LS003,10,700,900,05/22/21,3,2700
143,Gaming Mouse,A mouse for gaming,None,GM003,8,1000,1200,05/23/21,6,7200
144,Graphics Card,A device for rendering graphics,None,GC003,5,22000,25000,05/24/21,4,100000
145,Motherboard,A main circuit board,None,MB003,8,15000,18000,05/25/21,4,72000
146,CPU,A central processing unit,None,CPU003,10,12000,15000,05/26/21,6,90000
147,RAM,A type of computer memory,None,RAM003,15,10000,12000,05/27/21,2,24000
148,Hard Drive,A data storage device,None,HD003,12,3500,4000,05/28/21,3,12000
149,SSD,A type of data storage device,None,SSD003,10,5000,6000,05/29/21,1,6000
150,Monitor,A display screen,None,MON003,5,18000,20000,05/30/21,3,60000
151,Printer Paper,A type of paper,None,PP003,20,400,500,05/31/21,6,3000
152,Pencil,A writing instrument,None,PCL003,25,20,30,06/01/21,6,180
153,Eraser,A tool for erasing,None,ER003,30,15,20,06/02/21,24,480
154,Highlighter,A marker for highlighting text,None,HL003,15,40,50,06/03/21,4,200
155,Scissors,A cutting tool,None,SC003,10,100,150,06/04/21,8,1200
156,Staples,A type of fastener,None,STP003,8,15,20,06/05/21,7,140
157,File Organizer,A tool for organizing files,None,FO003,12,200,250,06/06/21,1,250
158,Desk Lamp,A lighting fixture,None,DLP004,10,700,900,06/07/21,4,3600
159,Desk Chair,A chair for a desk,None,DC003,5,6000,7000,06/08/21,1,7000
160,Coffee Table,A low table for coffee,None,CT003,8,7000,8000,06/09/21,5,40000
161,Bookshelf,A shelf for books,None,BS003,10,3000,3500,06/10/21,6,21000
162,TV Stand,A stand for a television,None,TVS003,12,2500,3000,06/11/21,5,15000
163,Nightstand,A small table by a bed,None,NS003,5,3000,3500,06/12/21,2,7000
164,Sofa Bed,A sofa that can be converted into a bed,None,SFB003,8,12000,15000,06/13/21,2,30000
165,Area Rug,A rug for the floor,None,AR003,10,3500,4000,06/14/21,5,20000
166,Throw Pillow,A decorative pillow,None,TP003,12,900,1100,06/15/21,9,9900
167,Wall Art,Artwork for walls,None,WA003,15,1200,1500,06/16/21,13,19500
168,Curtains,Window coverings,None,CRT004,20,1100,1300,06/17/21,10,13000
169,Table Lamp,A lamp for tables,None,TL003,8,1200,1500,06/18/21,4,6000
170,Travel Adapter,A device for adapting plugs,None,TA005,10,500,700,06/19/21,7,4900
171,Power Bank,A portable charger,None,PB004,15,1200,1500,06/20/21,7,10500
172,USB Flash Drive,A portable data storage device,None,UFD004,20,700,900,06/21/21,6,5400
173,Wireless Mouse,A mouse without cables,None,WM004,15,1000,1200,06/22/21,7,8400
174,Laptop Stand,A stand for laptops,None,LS004,10,900,1100,06/23/21,4,4400
175,Gaming Mouse,A mouse for gaming,None,GM004,8,1200,1500,06/24/21,1,1500
176,Graphics Card,A device for rendering graphics,None,GC004,5,25000,30000,06/25/21,1,30000
177,Motherboard,A main circuit board,None,MB004,8,18000,22000,06/26/21,2,44000
178,CPU,A central processing unit,None,CPU004,10,15000,18000,06/27/21,1,18000
179,RAM,A type of computer memory,None,RAM004,15,12000,15000,06/28/21,5,75000
180,Hard Drive,A data storage device,None,HD004,12,4000,5000,06/29/21,5,25000
181,SSD,A type of data storage device,None,SSD004,10,6000,7000,06/30/21,9,63000
182,Monitor,A display screen,None,MON004,5,20000,25000,07/01/21,2,50000
183,Printer Paper,A type of paper,None,PP004,20,500,600,07/02/21,13,7800
184,Pencil,A writing instrument,None,PCL004,25,25,35,07/03/21,2,70
185,Eraser,A tool for erasing,None,ER004,30,20,25,07/04/21,17,425
186,Highlighter,A marker for highlighting text,None,HL004,15,50,60,07/05/21,5,300
187,Scissors,A cutting tool,None,SC004,10,150,200,07/06/21,1,200
188,Staples,A type of fastener,None,STP004,8,20,25,07/07/21,6,150
189,File Organizer,A tool for organizing files,None,FO004,12,250,300,07/08/21,5,1500
190,Desk Lamp,A lighting fixture,None,DLP005,10,800,1000,07/09/21,4,4000
191,Desk Chair,A chair for a desk,None,DC004,5,7000,8000,07/10/21,3,24000
192,Coffee Table,A low table for coffee,None,CT004,8,8000,9000,07/11/21,4,36000
193,Bookshelf,A shelf for books,None,BS004,10,3500,4000,07/12/21,1,4000
194,TV Stand,A stand for a television,None,TVS004,12,3000,3500,07/13/21,5,17500
195,Nightstand,A small table by a bed,None,NS004,5,3500,4000,07/14/21,3,12000
196,Sofa Bed,A sofa that can be converted into a bed,None,SFB004,8,15000,18000,07/15/21,2,36000
197,Area Rug,A rug for the floor,None,AR004,10,4000,4500,07/16/21,6,27000
198,Throw Pillow,A decorative pillow,None,TP004,12,1100,1400,07/17/21,2,2800
199,Wall Art,Artwork for walls,None,WA004,15,1500,1800,07/18/21,13,23400
200,Curtains,Window coverings,None,CRT005,20,1300,1600,07/19/21,9,14400
201,Table Lamp,A lamp for tables,None,TL004,8,1500,1800,07/20/21,3,5400
202,Travel Adapter,A device for adapting plugs,None,TA006,10,600,800,07/21/21,7,5600
203,Power Bank,A portable charger,None,PB005,15,1500,1800,07/22/21,3,5400
204,USB Flash Drive,A portable data storage device,None,UFD005,20,800,1000,07/23/21,9,9000
205,Wireless Mouse,A mouse without cables,None,WM005,15,1200,1500,07/24/21,1,1500
206,Laptop Stand,A stand for laptops,None,LS005,10,1100,1400,07/25/21,8,11200
207,Gaming Mouse,A mouse for gaming,None,GM005,8,1500,1800,07/26/21,6,10800
208,Graphics Card,A device for rendering graphics,None,GC005,5,30000,35000,07/27/21,1,35000
209,Motherboard,A main circuit board,None,MB005,8,22000,25000,07/28/21,5,125000
210,CPU,A central processing unit,None,CPU005,10,18000,20000,07/29/21,4,80000
211,RAM,A type of computer memory,None,RAM005,15,15000,18000,07/30/21,11,198000
212,Hard Drive,A data storage device,None,HD005,12,5000,6000,07/31/21,6,36000
213,SSD,A type of data storage device,None,SSD005,10,7000,8000,08/01/21,9,72000
214,Monitor,A display screen,None,MON005,5,25000,30000,08/02/21,1,30000
215,Printer Paper,A type of paper,None,PP005,20,600,800,08/03/21,12,9600
216,Pencil,A writing instrument,None,PCL005,25,30,40,08/04/21,18,720
217,Eraser,A tool for erasing,None,ER005,30,25,35,08/05/21,18,630
218,Highlighter,A marker for highlighting text,None,HL005,15,60,80,08/06/21,3,240
219,Scissors,A cutting tool,None,SC005,10,200,250,08/07/21,6,1500
220,Staples,A type of fastener,None,STP005,8,25,35,08/08/21,7,245
221,File Organizer,A tool for organizing files,None,FO005,12,300,400,08/09/21,5,2000
222,Desk Lamp,A lighting fixture,None,DLP006,10,900,1200,08/10/21,2,2400
223,Desk Chair,A chair for a desk,None,DC005,5,8000,9000,08/11/21,3,27000
224,Coffee Table,A low table for coffee,None,CT005,8,9000,10000,08/12/21,6,60000
225,Bookshelf,A shelf for books,None,BS005,10,4000,4500,08/13/21,5,22500
226,TV Stand,A stand for a television,None,TVS005,12,3500,4000,08/14/21,9,36000
227,Nightstand,A small table by a bed,None,NS005,5,4000,4500,08/15/21,4,18000
228,Sofa Bed,A sofa that can be converted into a bed,None,SFB005,8,18000,20000,08/16/21,1,20000
229,Area Rug,A rug for the floor,None,AR005,10,4500,5000,08/17/21,6,30000
230,Throw Pillow,A decorative pillow,None,TP005,12,1400,1600,08/18/21,3,4800
231,Wall Art,Artwork for walls,None,WA005,15,1800,2000,08/19/21,4,8000
232,Curtains,Window coverings,None,CRT006,20,1600,1800,08/20/21,3,5400
233,Table Lamp,A lamp for tables,None,TL005,8,1800,2000,08/21/21,3,6000
234,Travel Adapter,A device for adapting plugs,None,TA007,10,700,900,08/22/21,5,4500
235,Power Bank,A portable charger,None,PB006,15,1800,2000,08/23/21,8,16000
236,USB Flash Drive,A portable data storage device,None,UFD006,20,900,1100,08/24/21,1,1100
237,Wireless Mouse,A mouse without cables,None,WM006,15,1500,1700,08/25/21,14,23800
238,Laptop Stand,A stand for laptops,None,LS006,10,1400,1600,08/26/21,8,12800
239,Gaming Mouse,A mouse for gaming,None,GM006,8,1800,2000,08/27/21,5,10000
240,Graphics Card,A device for rendering graphics,None,GC006,5,35000,40000,08/28/21,2,80000
241,Motherboard,A main circuit board,None,MB006,8,25000,30000,08/29/21,7,210000
242,CPU,A central processing unit,None,CPU006,10,20000,25000,08/30/21,8,200000
243,RAM,A type of computer memory,None,RAM006,15,18000,22000,08/31/21,13,286000
244,Hard Drive,A data storage device,None,HD006,12,6000,7000,09/01/21,10,70000
245,SSD,A type of data storage device,None,SSD006,10,8000,9000,09/02/21,2,18000
246,Monitor,A display screen,None,MON006,5,30000,35000,09/03/21,3,105000
247,Printer Paper,A type of paper,None,PP006,20,700,900,09/04/21,10,9000
248,Pencil,A writing instrument,None,PCL006,25,35,45,09/05/21,11,495
249,Eraser,A tool for erasing,None,ER006,30,30,40,09/06/21,28,1120
250,Highlighter,A marker for highlighting text,None,HL006,15,80,100,09/07/21,9,900
251,Scissors,A cutting tool,None,SC006,10,250,300,09/08/21,8,2400
252,Staples,A type of fastener,None,STP006,8,35,45,09/09/21,2,90
253,File Organizer,A tool for organizing files,None,FO006,12,400,500,09/10/21,11,5500
254,Desk Lamp,A lighting fixture,None,DLP007,10,1000,1200,09/11/21,9,10800
255,Desk Chair,A chair for a desk,None,DC006,5,9000,10000,09/12/21,2,20000
256,Coffee Table,A low table for coffee,None,CT006,8,10000,12000,09/13/21,4,48000
257,Bookshelf,A shelf for books,None,BS006,10,4500,5000,09/14/21,2,10000
258,TV Stand,A stand for a television,None,TVS006,12,4000,4500,09/15/21,8,36000
259,Nightstand,A small table by a bed,None,NS006,5,4500,5000,09/16/21,3,15000
260,Sofa Bed,A sofa that can be converted into a bed,None,SFB006,8,20000,25000,09/17/21,3,75000
261,Area Rug,A rug for the floor,None,AR006,10,5000,6000,09/18/21,4,24000
262,Throw Pillow,A decorative pillow,None,TP006,12,1600,1800,09/19/21,6,10800
263,Wall Art,Artwork for walls,None,WA006,15,2000,2200,09/20/21,5,11000
264,Curtains,Window coverings,None,CRT007,20,1800,2000,09/21/21,11,22000
265,Table Lamp,A lamp for tables,None,TL006,8,2000,2200,09/22/21,5,11000
266,Travel Adapter,A device for adapting plugs,None,TA008,10,800,1000,09/23/21,3,3000
267,Power Bank,A portable charger,None,PB007,15,2000,2200,09/24/21,10,22000
268,USB Flash Drive,A portable data storage device,None,UFD007,20,1100,1300,09/25/21,10,13000
269,Wireless Mouse,A mouse without cables,None,WM007,15,1700,1900,09/26/21,2,3800
270,Laptop Stand,A stand for laptops,None,LS007,10,1600,1800,09/27/21,8,14400
271,Gaming Mouse,A mouse for gaming,None,GM007,8,2000,2200,09/28/21,7,15400
272,Graphics Card,A device for rendering graphics,None,GC007,5,40000,45000,09/29/21,4,180000
273,Motherboard,A main circuit board,None,MB007,8,30000,35000,09/30/21,3,105000
274,CPU,A central processing unit,None,CPU007,10,25000,30000,10/01/21,7,210000
275,RAM,A type of computer memory,None,RAM007,15,22000,25000,10/02/21,6,150000
276,Hard Drive,A data storage device,None,HD007,12,7000,8000,10/03/21,11,88000
277,SSD,A type of data storage device,None,SSD007,10,9000,10000,10/04/21,5,50000
278,Monitor,A display screen,None,MON007,5,35000,40000,10/05/21,3,120000
279,Printer Paper,A type of paper,None,PP007,20,800,1000,10/06/21,6,6000
280,Pencil,A writing instrument,None,PCL007,25,40,50,10/07/21,6,300
281,Eraser,A tool for erasing,None,ER007,30,35,45,10/08/21,7,315
282,Highlighter,A marker for highlighting text,None,HL007,15,100,120,10/09/21,4,480
283,Scissors,A cutting tool,None,SC007,10,300,350,10/10/21,4,1400
284,Staples,A type of fastener,None,STP007,8,45,55,10/11/21,1,55
285,File Organizer,A tool for organizing files,None,FO007,12,500,600,10/12/21,6,3600
286,Desk Lamp,A lighting fixture,None,DLP008,10,1200,1400,10/13/21,7,9800
287,Desk Chair,A chair for a desk,None,DC007,5,10000,12000,10/14/21,2,24000
288,Coffee Table,A low table for coffee,None,CT007,8,12000,14000,10/15/21,2,28000
289,Bookshelf,A shelf for books,None,BS007,10,5000,6000,10/16/21,8,48000
290,TV Stand,A stand for a television,None,TVS007,12,4500,5500,10/17/21,2,11000
291,Nightstand,A small table by a bed,None,NS007,5,5000,6000,10/18/21,4,24000
292,Sofa Bed,A sofa that can be converted into a bed,None,SFB007,8,25000,30000,10/19/21,6,180000
293,Area Rug,A rug for the floor,None,AR007,10,6000,7000,10/20/21,6,42000
294,Throw Pillow,A decorative pillow,None,TP007,12,1800,2000,10/21/21,5,10000
295,Wall Art,Artwork for walls,None,WA007,15,2200,2500,10/22/21,8,20000
296,Curtains,Window coverings,None,CRT008,20,2000,2200,10/23/21,19,41800
297,Table Lamp,A lamp for tables,None,TL007,8,2200,2500,10/24/21,5,12500
298,Travel Adapter,A device for adapting plugs,None,TA009,10,900,1100,10/25/21,5,5500
299,Power Bank,A portable charger,None,PB008,15,2200,2500,10/26/21,6,15000
300,USB Flash Drive,A portable data storage device,None,UFD008,20,1300,1500,10/27/21,5,7500
301,Wireless Mouse,A mouse without cables,None,WM008,15,1900,2100,10/28/21,10,21000
302,Laptop Stand,A stand for laptops,None,LS008,10,1800,2000,10/29/21,9,18000
303,Gaming Mouse,A mouse for gaming,None,GM008,8,2200,2500,10/30/21,2,5000
304,Graphics Card,A device for rendering graphics,None,GC008,5,45000,50000,10/31/21,2,100000
305,Motherboard,A main circuit board,None,MB008,8,35000,40000,11/01/21,2,80000
306,CPU,A central processing unit,None,CPU008,10,30000,35000,11/02/21,4,140000
307,RAM,A type of computer memory,None,RAM008,15,25000,30000,11/03/21,4,120000
308,Hard Drive,A data storage device,None,HD008,12,8000,9000,11/04/21,9,81000
309,SSD,A type of data storage device,None,SSD008,10,10000,12000,11/05/21,1,12000
310,Monitor,A display screen,None,MON008,5,40000,45000,11/06/21,2,90000
311,Printer Paper,A type of paper,None,PP008,20,1000,1200,11/07/21,11,13200
312,Pencil,A writing instrument,None,PCL008,25,50,60,11/08/21,23,1380
313,Eraser,A tool for erasing,None,ER008,30,45,55,11/09/21,7,385
314,Highlighter,A marker for highlighting text,None,HL008,15,120,140,11/10/21,5,700
315,Scissors,A cutting tool,None,SC008,10,350,400,11/11/21,1,400
316,Staples,A type of fastener,None,STP008,8,55,65,11/12/21,5,325
317,File Organizer,A tool for organizing files,None,FO008,12,600,700,11/13/21,9,6300
318,Desk Lamp,A lighting fixture,None,DLP009,10,1400,1600,11/14/21,3,4800
319,Desk Chair,A chair for a desk,None,DC008,5,12000,14000,11/15/21,2,28000
320,Coffee Table,A low table for coffee,None,CT008,8,14000,16000,11/16/21,1,16000
321,Bookshelf,A shelf for books,None,BS008,10,6000,7000,11/17/21,8,56000
322,TV Stand,A stand for a television,None,TVS008,12,5500,6500,11/18/21,11,71500
323,Nightstand,A small table by a bed,None,NS008,5,6000,7000,11/19/21,4,28000
324,Sofa Bed,A sofa that can be converted into a bed,None,SFB008,8,30000,35000,11/20/21,3,105000
325,Area Rug,A rug for the floor,None,AR008,10,7000,8000,11/21/21,3,24000
326,Throw Pillow,A decorative pillow,None,TP008,12,2000,2200,11/22/21,6,13200
327,Wall Art,Artwork for walls,None,WA008,15,2500,2800,11/23/21,11,30800
328,Curtains,Window coverings,None,CRT009,20,2200,2500,11/24/21,2,5000
329,Table Lamp,A lamp for tables,None,TL008,8,2500,2800,11/25/21,5,14000
330,Travel Adapter,A device for adapting plugs,None,TA010,10,1000,1200,11/26/21,8,9600
331,Power Bank,A portable charger,None,PB009,15,2500,2800,11/27/21,1,2800
332,USB Flash Drive,A portable data storage device,None,UFD009,20,1500,1800,11/28/21,10,18000
333,Wireless Mouse,A mouse without cables,None,WM009,15,2100,2400,11/29/21,6,14400
334,Laptop Stand,A stand for laptops,None,LS009,10,2000,2300,11/30/21,8,18400
335,Gaming Mouse,A mouse for gaming,None,GM009,8,2500,2800,12/01/21,5,14000
336,Graphics Card,A device for rendering graphics,None,GC009,5,50000,55000,12/02/21,3,165000
337,Motherboard,A main circuit board,None,MB009,8,40000,45000,12/03/21,6,270000
338,CPU,A central processing unit,None,CPU009,10,35000,40000,12/04/21,6,240000
339,RAM,A type of computer memory,None,RAM009,15,30000,35000,12/05/21,1,35000
340,Hard Drive,A data storage device,None,HD009,12,9000,10000,12/06/21,5,50000
